名称（饰品）,消耗槽位,作者,效果,描述,获取方式,附加信息
*自我,2,qaz,对局开始时提供100HP（生命值）,这就是你自己,初始自带,
*飞升之证,11,qaz,无视所有其他道具提供的HP，强制玩家在对局开始时HP为0并且无法获得任何HP，携带飞升之证每连续赢得5场胜利，本道具计数器永久+1，在战斗开始时，获得计数器对应数量的护盾层数，每层护盾可以抵挡一次没有被闪避/完美防御的攻击,终局？,全程无伤获得一场胜利,
*圣火,5,qaz,对局内对方每步选择若大于半秒，自动选择跳过,沧海桑田，然后永恒,一局游戏中敌方的总行动时间达到10分钟,
*漫游者之心,3,qaz,若最慢的一步选择的时间在1秒内，最终攻击点数倍率将依据时间增加（0-1秒对应10-1倍）,纯粹,己方总行动时间在5秒内的情况下胜利,
银色猫猫吊坠,2,枫梓,"获得祝福，每回合恢复1点血量，增加1点伤害1点防御
",喵喵 喵喵喵？,"对局胜利时仅剩一滴血
",
*戮力同心,1,yyzh,"若掷出骰子点数等于上一个骰子，造成n×n的效果
",运，赢！,连胜6局并期间所有掷出骰子点数均相同,
亡者之怒,1,逸宸,HP剩余十点时，骰子点数乘1.5,二阶段吗？我也有哦~,"剩余十点HP获得胜利
",
不稳定核电,1,逸宸,"HP归零时，对全体单位（包括友方）
造成70真实伤害",核电轻而易举,"一局游戏单次受
伤达到70及以上",
翱翔证章,1,逸宸,"65％的概率获得先手
当现实时间为4:30~19:30时概率提升至95%，对面也携带此道具时无效",翱翔于天际,"连续五局获得
先手",
运气守恒,1,yyzh,"掷出最小点数时，重新投掷；掷出最大点数时，重新投掷
",玄不改非，氪不改命,"一局游戏中从未掷出过最大或最小值
",
带刺坚壳,1,逸宸,"将自身受到的伤害反弹30%（向下取整，
你要是愿意四舍五入也行）",玻璃大炮的克星,"一局游戏受到的
伤害累计在200以上，并赢得游戏",
钨钢屏障生成仪,1,逸宸,每三回合获得十点抵抗攻击的护盾,论持久战！（这个单元格怎么扩建啊）,连续十回合未失去HP,驳回，太多盾了，对这个游戏的前期数值来说，十点防跟无敌有什么区别
心形吊坠盒,2,逸宸,拥有道具“树枝”时将树枝的减益取消，改为造成伤害×1.2 受到的伤害×0.8,“我的”吊坠盒,拥有道具“树枝”时连续获得两次胜利,
树枝,-2,逸宸,只会拖累你，造成的伤害×0.8 受到的伤害×1.2,你为什么要捡这一根破木棍,战斗结束后7%的概率从地上捡到,
⑨,2,枫梓,9%概率免疫一次攻击伤害,baka是不会受伤的,"单局游戏中所有判定结果为最小值
",
*预见,3,qaz,允许在对方行动完之前提前规划好后续回合的行动，不占用行动时间,指向唯一的胜利,携带饰品“漫游者之心”而一整局都没有触发过增益,
追击,,NULL,当敌人受到自己造成的伤害时，对其额外造成一次伤害（算两次攻击）,   “不许跑”,一局内对敌人攻击10次,驳回，翻倍是很危险的设计
契约,-2,NULL,每回合扣两滴血,“魔法是有代价的”,被人打成-5点血,
脆弱诅咒,,NULL,每次攻击使得敌人增加一次标记，叠满3次敌人获得一层易伤debuff，使得敌人每次收到伤害+1.最多加3层。,年轻人，要注意身体呦,造成5次追击后获得,驳回，没意思
破伤风诅咒,,NULL,每次反击敌人给敌人增加一层流血标记，每一层会使得敌人在回合结束后收到一点伤害，最多加3层。,“需要叫救护车吗？”,一局内反击5次获得,驳回，没意思
