名称（骰子）(*代表已实现),作者,类型,效果,描述,获取方式,附加信息,,,,
*D6,qaz,AD/PD,普通六面骰，作为主动骰子使用时，roll出点数作为对某人施加的攻击点数ATKP，作为被动骰子使用时，roll出点数获得DEFP，如果ATKP<=DEFP，则完全防御，不受伤，如果ATKP>DEFP，则对应玩家受到ATKP-DEFP点伤害,Reroll your destiny.,初始自带,,,,,
*飞羽,qaz,PD,为一个(计数器+ATKP*2)面的骰子，roll出点数获得AVOP，如果ATKP>AVOP，则闪避成功，不受伤如果ATKP<=AVOP，则闪避失败，受到全部ATKP点伤害，每次使用时计数器临时+1，在本场游戏结束后清空,一小步,使用D6进行一次完全防御,,,,,
*春风,qaz,AD,4面骰，roll出点数获得SPRP，右侧栏位骰子临时计数器=原计数器数值-SPRP（允许为负）,生生不息,一局内使用飞羽骰子进行闪避连续成功5次,,,,,
血痕,qaz,PD,3面骰，对地方施加的ATKP不进行防御，直接判定受全额伤害，roll出点数获得BLOP，对玩家下一次使用AD施加的ATKP进行（ATKP*BLOP）点的增加,预言石上血痕现,不使用PD获得胜利,,,,,
倒悬,qaz,AD,4面骰，只有在上一回合受到全额伤害可用，roll出点数为1时，对自己施加上一次被施加的ATKP，点数为2，3，4时，对敌方施加上一次被施加的ATKP的1，2，3倍的ATKP,星河倒悬月无光,在被施加至少20点ATKP时使用血痕,,,,,
莫问,qaz,PD,8面骰，先受到伤害，再roll取点数获得HEAP，获得HEAP点HP,莫问何处寻生路,对敌施加50点ATKP而没有造成伤害,,,,,
轮回,qaz,PD,4面骰，roll出点数获得SAMP，受到ATKP*SAMP点伤害，连续进行SAMP次主动回合,轮回尽头万物殇,一局游戏中，HP达到100点,,,,,
不动,枫梓,AD,"8面骰，使用后点数出7或8时免疫伤害4回合（任何形式攻击伤害变成0）首回合时血量回满
",心不动身宜不动,"连续三局游戏成功闪避所有伤害直至胜利
",,,,,
TT2—？,枫梓,PD,"6面骰，血量清空时触发一次判定，骰出点数双数（2.4.6
）时为成功 所有状态恢复至上一回合开始前，骰出点数单数（1.3.5）时为失败 无事发生",如何相信时间？,"单局游戏进行100回合以上且获得胜利时满血
",,,,,
致命失误！,逸宸,AD,18面骰，摇出17 18点对地方单体造成65点伤害,"你不是神，但你
的灵魂是我的盛宴","第一回合损失半血
并获得胜利",驳回，特定点数判定骰子已经太多了,,,,
*刮痧师傅,yyzh,AD,"D6，若伤害未被完全格挡，则骰子最大值减即将造成伤害值（最低为1），根据即将造成伤害值重投对应次数，公式damage=（6-atk）×atk
","驽马十驾，功在不舍
","累计造成1点伤害10次
",,,,,
波奇塔,枫梓,PD,8面骰，剩余血量不足10%时生效，增加50%伤害，闪避点数本局内加3（伤害增益生效3回合，闪避整局生效）,我们…在哪见过？,"对敌方造成0点伤害持续20回合保持满血（在第20回合确保是满血就好）并在25回合内结束游戏获得失败
",,,,,
要来咯,yyzh,AD,D4，掷出值为n，投掷骰子时不造成伤害并累计相加，并于后续第n回合造成n乘以加值的伤害。（稍微限制了一下，全是最大值也就4×（4+4+4），也就半条命吧，上下限浮动极大）,这一下，会很酷,单回合造成50点伤害,,,,,
,,,,,,,,,,
,,,,,,,,,,
天使,,AD,"6面骰，
按照roll出的点数增加我方攻击力X%（X为ROll的点数）直到回合结束。",,,,,,,
